workYear,education,financeStage,companyLogo,district,companyId,explain,industryField,companyLabelList,positionLables,firstType,formatCreateTime,industryLables,companySize,positionName,jobNature,deliver,gradeDescription,companyFullName,createTime,positionId,companyShortName,salary,isSchoolJob,secondType,positionAdvantage
3-5年,本科,天使轮,i/image2/M00/4C/D8/CgoB5lr6hHyAMYlZAABqWiuyHQs923.png,南山区,244500,,电子商务,"弹性工作,管理规范,美女多,帅哥多","银行,理财,财务,税务,统计,审核",综合职能类,1天前发布,"银行,理财,财务,税务,统计,审核",150-500人,费用会计,全职,0,,深圳市联翘科技有限公司,2018-05-31 17:49:02,3473523,联翘科技,5k-7k,0,财务,"工作氛围好,扁平化管理"
1-3年,大专,未融资,i/image/M00/8D/B3/CgpFT1r6t_SAfUqcAAAJ_yVsM44887.png,宝安区,215300,,移动互联网,"技能培训,领导好,免费班车,节日礼物","银行,工具软件,财务,税务,AR",综合职能类,2018-05-28,"银行,工具软件,财务,税务,AR",50-150人,会计,全职,0,,壹件事（深圳）科技有限公司,2018-05-28 15:16:44,4580449,壹件事科技,4k-6k,0,财务,活跃
1-3年,大专,A轮,image2/M00/0F/DE/CgqLKVYq5SiAUuhOAAAOBkHoB0c652.jpg?cc=0.2033057368826121,宝安区,102547,,其他,"股票期权,绩效奖金,岗位晋升,扁平管理","财务,仓储,审核",金融类,09:11发布,,50-150人,成本会计,全职,0,,深圳智芯数据服务有限公司,2018-06-01 09:11:19,4439439,智芯,6k-8k,0,法务财务,"五险,弹性工作,福利补贴,股票期权"
3-5年,本科,A轮,i/image/M00/8B/33/Cgp3O1h4jx-ALXHpAADIYVz6vnk990.jpg,宝安区,73758,,"移动互联网,硬件","股票期权,绩效奖金,扁平管理,美女多","财务,税务,统计",综合职能类,1天前发布,,50-150人,会计,全职,0,,深圳市电陶思创科技有限公司,2018-05-31 16:27:14,4341653,深智云,6k-9k,0,财务,"福利待遇好,氛围好,地铁班车,老板人好"
不限,本科,不需要融资,i/image/M00/34/0B/CgpFT1lB42CAGw9xAAANVOIFNwA716.png,南山区,169202,,游戏,"带薪年假,年终分红,绩效奖金,交通补助","游戏,审计,财务,税务,统计",综合职能类,2天前发布,"游戏,审计,财务,税务,统计",150-500人,会计,全职,0,,深圳市天天爱科技有限公司,2018-05-30 16:04:45,4608796,深圳市天天爱科技有限公司,6k-10k,0,财务,"行业前10,福利待遇好,晋升空间大,带薪年假"
1-3年,大专,不需要融资,i/image3/M00/4C/A4/CgpOIFrgI7yAUU4QAABjz2KmknY508.jpg,龙华新区,372609,,电子商务,"绩效奖金,带薪年假,年度旅游,美女多","电商,财务,税务,统计",综合职能类,2天前发布,"电商,财务,税务,统计",15-50人,会计,全职,0,,深圳前海蜗牛电子商务有限公司,2018-05-30 15:57:50,4521269,深圳前海蜗牛电子商务有限公司,4k-5k,0,财务,环境优越
3-5年,本科,未融资,i/image3/M00/44/B2/Cgq2xlq56XCAL3kfAAAwGX9cRoI225.jpg,南山区,353038,,"企业服务,其他","""""","财务,税务,AR",综合职能类,2018-05-08,,15-50人,会计,全职,0,,深圳前海实沃商业保理有限公司,2018-05-08 16:31:26,4537459,实沃保理,7k-8k,0,财务,"会计,财务"
1-3年,本科,上市公司,i/image3/M00/38/B9/Cgq2xlqqPqKAAJLBAAIFYVcuPw8958.png,福田区,124962,,"企业服务,数据服务","股票期权,绩效奖金,带薪年假,定期体检","助理,税务",综合职能类,1天前发布,,500-2000人,会计/财务专员,全职,0,,深圳市麦达数字股份有限公司,2018-05-31 09:58:12,4400660,麦达数字,5k-8k,0,财务,"集团管理,有成长空间,学习机会多"
3-5年,本科,B轮,i/image/M00/4F/F1/CgpEMllwBh2AXQk3AAAN8tMpbDQ984.jpg,南山区,158509,,"硬件,移动互联网","股票期权,绩效奖金,定期体检,六险一金","银行,财务,税务,AR",综合职能类,2天前发布,"银行,财务,税务,AR",50-150人,全盘会计,全职,0,,厦门瑞为信息技术有限公司深圳分公司,2018-05-30 09:27:39,4580801,瑞为智能,6k-8k,0,财务,"五天制,文化超好,福利超多,就等你来"
1-3年,本科,不需要融资,image1/M00/19/80/CgYXBlUZE0OAaaubAABvG9pHLms462.png,南山区,60434,,金融,,"财务,供应链,总账会计,全盘会计,主管会计",综合职能类,2018-05-09,,150-500人,会计,全职,0,,加油宝金融科技服务（深圳）有限公司,2018-05-09 15:15:56,4543635,加油宝,5k-10k,0,财务,"五险一金,年度旅游,年度体检,节日礼金"
1-3年,大专,B轮,i/image3/M00/2E/3A/CgpOIFqfuIyAboMGAAAqvk_D1bs602.png,南山区,33195,,"移动互联网,教育","股票期权,带薪年假,在线教育,绩效奖金",税务,综合职能类,2018-05-13,,50-150人,会计,全职,0,,深圳博为教育科技有限公司,2018-05-13 20:22:31,3142451,博为教育,6K-10K,0,财务,晋升机会
1-3年,本科,未融资,i/image/M00/86/93/CgqKkVhkvc-AK8z8AAAgBdbsthM634.jpg,龙华新区,164606,,招聘,"股票期权,领导nice,弹性工作,扁平管理",财务,金融类,2018-05-21,,15-50人,会计,全职,0,,深圳市成功快车科技有限公司,2018-05-21 10:21:36,2697591,深圳市成功快车科技有限公司,4k-6k,0,法务财务,发展平台广 办公环境佳 五险 双休
1-3年,本科,A轮,i/image/M00/33/65/CgpFT1lArbaAekVQAAAl9BF1Nls225.png,南山区,114705,,"移动互联网,其他","年底双薪,绩效奖金,股票期权,扁平管理","财务,税务,AR",综合职能类,1天前发布,,15-50人,会计,全职,0,,深圳前海运动保网络科技有限公司,2018-05-31 11:04:21,4618254,运动保,5k-8k,0,财务,周末双休
